label,message
"Monthly RAV4 sales in Germany in 2024","Can you help me get the monthly sales of the RAV4 in Germany in 2024?"
"Top countries by vehicle sales","Show me the top countries by vehicle sales"
"Toyota warranty for Europe","What is the standard Toyota warranty for Europe?"
"Models from Toyota we sold in 2023","What are the models from Toyota we sold in 2023?"
"Toyota sales in Belgium in 2025","Can you help me get the monthly sales of the Toyota in Belgium in 2025?"
"Monthly Camaro sales in Belgium in 2023","Can you help me get the monthly sales of the Camaro in Belgium in 2023?"
"Monthly RAV4 HEV sales in 2023","Can you help me get the monthly sales of the RAV4 HEV in 2023?"
"RAV4 maintenance schedule","What is the maintenance schedule for my RAV4?"
"Engine oil check procedure","How do I check the engine oil level in my Toyota vehicle?"
"Tire repair kit location","Where is the tire repair kit located in my vehicle?"
"Compare Toyota vs Lexus warranty","What are the key warranty differences between Toyota and Lexus vehicles?"
